mobbing_context,location,Delta_Freq_Hz,High_Freq_Hz,Center_Freq_Hz,Avg_Power_Density_dB_FSperHz,avg_distance_to_calling_crows,Delta_Time_s,total_crows,total_calls
breeding,br_mb_1,19204.072,19737.62933,1540.646667,-50.8022,18.25,0.348273333,5,9
breeding,br_mb_2,14950.525,15939.525,1617.225,-51.295,11.6,0.33175,6,1
breeding,br_mb_3,14740.46224,15695.53147,1642.93007,-55.53594406,15.8,0.32241958,9,72
breeding,br_mb_4,9106.818333,10266.16833,1863.286667,-51.33475,33,0.307225,3,21
breeding,br_mb_5,16028.56667,17232.64667,1525.013333,-46.85,25.775,0.296466667,2,7
breeding,br_mb_6,14380.24211,15017.61053,1618.415789,-57.59578947,17.26,0.375578947,4,7
breeding,br_mb_7,16111.03139,17122.89051,1740.860584,-50.15087591,28.1,0.348313869,12,77
breeding,br_mb_8,15167.96329,15834.86203,1586.650633,-54.65278481,12.3,0.316417722,6,40
breeding,br_mb_9,16448.06,16880.6,1987.52,-53.917,19.5,0.2726,5,5
breeding,br_mb_10,17624.77107,18466.55723,1506.483019,-57.08106918,22.8,0.375515723,8,36
breeding,br_mb_11,9039.936585,9952.57561,1560.618293,-59.15109756,31.1,0.334134146,5,50
breeding,br_mb_12,17957.76761,18725.8493,1880.291549,-55.36985915,16.25,0.297760563,8,18
non-breeding,nb_mb_1,12765.41522,13777.74457,1688.519022,-63.27869565,17,0.248725,,31
non-breeding,nb_mb_2,10639.57,11828.5294,1782.05819,-50.68301724,9,0.336516379,,62
non-breeding,nb_mb_4,9731.473432,10172.94159,1776.182432,-66.3127027,,0.404491892,,15
non-breeding,nb_mb_5,10176.19352,11336.9213,1694.444444,-69.14185185,,0.327137963,,73
non-breeding,nb_mb_6,6432.75331,7569.109859,1742.957746,-78.21197183,,0.219969014,,18
non-breeding,nb_mb_7,8541.425362,9083.975385,1665.144231,-59.93438462,,0.282927692,,74
non-breeding,nb_mb_8,10422.18535,11381.70342,1729.242701,-65.30722628,,0.328787591,,56
non-breeding,nb_mb_9,11024.58723,12019.38723,1685.505319,-63.14382979,,0.326951064,,30
non-breeding,nb_mb_10,17158.7509,18096.91935,1769.153226,-55.93258065,,0.328651613,,8
non-breeding,nb_mb_12,10373.30056,11432.47214,1692.27707,-52.89063694,14,0.331789172,,112
non-breeding,nb_mb_13,7809.769676,8769.448039,1625,-56.09068627,13,0.325109804,,47
